userId,recommendId,predictScore
1.0,3462.0,4.468401380182652
1.0,1247.0,4.468192120336308
1.0,3152.0,4.468130613166229
1.0,1086.0,4.467856146751317
1.0,4427.0,4.467727066177064
1.0,2351.0,4.467514289223617
1.0,1260.0,4.467450873262633
1.0,4235.0,4.467426036492311
1.0,1172.0,4.4669227718232385
1.0,1230.0,4.466875220870854
1.0,2677.0,4.466777778530574
1.0,2336.0,4.466748796637516
1.0,922.0,4.466711893046582
1.0,4392.0,4.466637456026717
1.0,1041.0,4.4665741199052915
1.0,1809.0,4.466551712895969
1.0,2691.0,4.466312696853994
1.0,1960.0,4.466203422430218
1.0,3730.0,4.465954789523379
1.0,2360.0,4.465819011323788
1.0,1211.0,4.46558608681034
1.0,912.0,4.4655452527557955
1.0,7008.0,4.465541851231612
1.0,2467.0,4.465292700655535
1.0,4914.0,4.465137368248802
1.0,1244.0,4.465032867713559
1.0,3089.0,4.464894404476958
1.0,506.0,4.4645813933566645
1.0,3655.0,4.464505400911004
1.0,2935.0,4.4641605631324435
1.0,1176.0,4.464142168057232
1.0,7327.0,4.463980421034607
1.0,4432.0,4.4639135967315555
1.0,1300.0,4.463781491816931
1.0,3468.0,4.463658446443853
1.0,4056.0,4.463359165616004
1.0,6666.0,4.463324398056308
1.0,4285.0,4.463314798432756
1.0,1280.0,4.4633067759898974
1.0,2686.0,4.463211230962554
1.0,3426.0,4.463175619540587
1.0,5628.0,4.4631234516428036
1.0,1281.0,4.4629144261098554
1.0,8228.0,4.462907535463901
1.0,4223.0,4.462881729723691
1.0,1466.0,4.462793955301649
1.0,2160.0,4.462767216718344
1.0,4529.0,4.46274659656462
1.0,2966.0,4.462707086304117
1.0,3083.0,4.462678665401544
1.0,4211.0,4.462658140399878
1.0,1212.0,4.462640234726705
1.0,1959.0,4.462580755859834
1.0,4424.0,4.462512533701848
1.0,1251.0,4.462500864320745
1.0,1225.0,4.462441100470045
1.0,154.0,4.4624409179945195
1.0,1284.0,4.462196922420184
