movieId,tagId,relevance
1,63,0.94725
1,64,0.98425
1,186,0.95475
1,203,0.90375
1,204,0.95975
1,244,0.99875
1,412,0.92875
1,469,0.90725
1,536,0.93675
1,588,0.98
1,589,0.98575
1,785,0.9645
1,786,0.99575
1,971,0.91625
1,1036,0.99925
2,29,0.976
2,204,0.959
2,377,0.95175
2,584,0.9185
2,588,0.95
2,951,0.932
3,451,0.9625
3,901,0.97525
3,902,0.9305
4,1116,0.97525
5,383,0.94825
5,451,0.9540000000000001
5,650,0.90625
5,808,0.91275
5,901,0.96025
5,902,0.941
6,19,0.93025
6,105,0.9445
6,268,0.97975
6,465,0.9425
6,481,0.9195
6,498,0.957
6,536,0.9185
7,849,0.98125
7,863,0.9229999999999999
7,864,0.96225
7,865,0.932
8,22,0.928
8,107,0.9295
9,19,0.977
9,20,0.91325
9,389,0.912
9,447,0.96925
9,609,0.969
9,1075,0.905
10,1,0.9995
10,2,1.0
10,19,0.9725
10,151,0.999
10,195,0.92975
10,361,0.961
10,406,0.96975
10,896,0.9540000000000001
11,614,0.9455
11,798,0.9765
11,800,0.98875
11,811,0.99675
11,863,0.9455
11,864,0.92825
11,865,0.9440000000000001
11,922,0.9435
11,1119,0.97825
12,770,0.98275
12,958,0.99275
13,40,0.941
13,63,0.9795
13,64,0.992
13,186,0.9135
13,316,0.98675
13,317,0.9645
13,589,0.94375
13,1007,0.978
14,133,0.9735
14,135,0.951
14,800,0.918
14,811,0.979
14,1119,0.9740000000000001
15,19,0.9765
15,29,0.97475
15,132,0.929
15,784,0.99025
15,1001,0.99175
15,1005,0.9325
15,1006,0.9209999999999999
15,1043,0.971
15,1044,0.99775
16,187,0.99325
16,258,0.918
16,269,0.90925
16,421,0.9085
16,423,0.9915
16,424,0.99025
16,465,0.93175
16,472,0.93175
16,536,0.93575
16,595,0.96775
16,622,0.995
16,658,0.99425
16,691,0.96475
16,741,0.999
16,758,0.94475
16,981,0.9305
16,1084,0.966
16,1085,0.98125
17,3,0.98
17,22,0.976
17,259,0.9685
17,574,0.92975
17,606,0.92425
17,774,0.96225
17,864,0.95775
18,526,0.90375
19,230,0.9825
19,300,0.97225
19,332,0.97375
19,417,0.92
19,455,0.98725
19,505,0.94
19,742,0.90325
19,901,0.96125
19,902,0.92075
19,920,0.98625
19,979,0.9285
19,1071,0.95525
20,19,0.94225
21,423,0.91475
21,658,0.95825
22,300,0.9685
22,558,0.905
22,683,0.92225
22,797,0.91975
22,824,0.90525
22,903,0.99725
22,999,0.938
22,1000,0.97375
22,1025,0.902
23,19,0.9775
23,81,0.9925
23,82,0.9705
23,83,0.9795
23,195,0.9055
23,447,0.9425
23,481,0.9009999999999999
23,510,0.99425
23,512,0.93975
23,997,0.90875
25,42,0.941
25,296,0.912
25,297,0.9005000000000001
25,328,0.97825
25,595,0.92375
